Bedrijfstakken/branches (SBI 2008),Perioden,Indexcijfers omzet/Waarde (2015=100),Indexcijfers omzet/Volume (2015=100),Omzetontwikkeling t.o.v. een jaar eerder/Waarde (%),Omzetontwikkeling t.o.v. een jaar eerder/Volume (%),Seizoencorrectie/Indexcijfers omzet/Waarde (2015 = 100),Seizoencorrectie/Indexcijfers omzet/Volume (2015 = 100),Seizoencorrectie/Ontwikkeling t.o.v. een kwartaal eerder/Waarde (%),Seizoencorrectie/Ontwikkeling t.o.v. een kwartaal eerder/Volume (%)
Traditionele Horeca,2005 1e kwartaal,67.8,87.9,,,79.5,101.4,,
Traditionele Horeca,2005 2e kwartaal,85.1,108.7,,,80.1,102.5,0.8,1
Traditionele Horeca,2005 3e kwartaal,88.7,112.2,,,82.3,105.2,2.7,2.7
Traditionele Horeca,2005 4e kwartaal,83.2,106.4,,,82.9,105.8,0.7,0.5
Traditionele Horeca,2006 1e kwartaal,70.5,90,4,2.4,83,103.8,0.1,-1.9
Traditionele Horeca,2006 2e kwartaal,89.7,112,5.3,3.1,85,105.6,2.5,1.8
Traditionele Horeca,2006 3e kwartaal,93.2,115,5.1,2.5,86,107.9,1.1,2.1
Traditionele Horeca,2006 4e kwartaal,87.6,108.7,5.2,2.2,86.9,108.2,1.1,0.3
Traditionele Horeca,2007 1e kwartaal,76.6,94.3,8.7,4.8,88.2,108.7,1.5,0.5
Traditionele Horeca,2007 2e kwartaal,95.7,115.6,6.7,3.2,89.9,109,1.9,0.3
Traditionele Horeca,2007 3e kwartaal,95.6,113.9,2.5,-0.9,89.4,106.9,-0.6,-1.9
Traditionele Horeca,2007 4e kwartaal,90.2,108.4,3.1,-0.3,90.5,107.8,1.3,0.8
Traditionele Horeca,2008 1e kwartaal,78.6,93.7,2.7,-0.6,90.9,107.7,0.4,-0.1
Traditionele Horeca,2008 2e kwartaal,96,111.8,0.4,-3.3,90,105.4,-1,-2.1
Traditionele Horeca,2008 3e kwartaal,94.8,108.1,-0.8,-5.1,88.3,101.3,-1.9,-3.9
Traditionele Horeca,2008 4e kwartaal,87.5,101.1,-3,-6.7,87.9,100.6,-0.5,-0.7
Traditionele Horeca,2009 1e kwartaal,74.1,85.1,-5.8,-9.2,86.3,98.3,-1.7,-2.2
Traditionele Horeca,2009 2e kwartaal,90.6,101.3,-5.7,-9.4,85.2,95.6,-1.4,-2.8
Traditionele Horeca,2009 3e kwartaal,91,99.8,-4,-7.7,84.5,93.1,-0.8,-2.6
Traditionele Horeca,2009 4e kwartaal,82.6,92.5,-5.7,-8.5,82.3,92.2,-2.6,-1
Traditionele Horeca,2010 1e kwartaal,70,78.2,-5.6,-8.2,82.4,90.6,0.1,-1.8
Traditionele Horeca,2010 2e kwartaal,87.5,96.8,-3.4,-4.4,82.1,91.3,-0.4,0.8
Traditionele Horeca,2010 3e kwartaal,91.7,101.6,0.7,1.9,84.3,94.6,2.7,3.6
Traditionele Horeca,2010 4e kwartaal,85.4,93.9,3.4,1.5,85.8,93.8,1.8,-0.9
Traditionele Horeca,2011 1e kwartaal,74.3,81,6.2,3.7,86.8,94.2,1.2,0.4
Traditionele Horeca,2011 2e kwartaal,93.6,100.7,7,4,87.6,94.9,0.9,0.8
Traditionele Horeca,2011 3e kwartaal,94.4,101.8,3,0.2,87.8,94.5,0.2,-0.4
Traditionele Horeca,2011 4e kwartaal,88.2,94.5,3.3,0.7,88.4,94.7,0.7,0.2
Traditionele Horeca,2012 1e kwartaal,76.9,82.4,3.4,1.7,88.9,95.6,0.6,0.9
Traditionele Horeca,2012 2e kwartaal,94.9,100.3,1.4,-0.4,89,94.3,0.2,-1.3
Traditionele Horeca,2012 3e kwartaal,95.1,100.5,0.7,-1.3,88.3,93.2,-0.8,-1.2
Traditionele Horeca,2012 4e kwartaal,87.4,91.9,-0.9,-2.9,88,92.2,-0.4,-1
Traditionele Horeca,2013 1e kwartaal,74.4,77.8,-3.2,-5.6,87.4,90.7,-0.7,-1.6
Traditionele Horeca,2013 2e kwartaal,95.7,99.1,0.8,-1.2,89.4,93.1,2.3,2.6
Traditionele Horeca,2013 3e kwartaal,97.6,100.6,2.7,0.1,90.3,93.3,1.1,0.2
Traditionele Horeca,2013 4e kwartaal,90.4,93.4,3.5,1.7,90.8,93.8,0.6,0.5
Traditionele Horeca,2014 1e kwartaal,79.6,82.2,7,5.7,93.6,95.9,3,2.2
Traditionele Horeca,2014 2e kwartaal,100.4,101.9,4.9,2.8,93.7,95.7,0.1,-0.1
Traditionele Horeca,2014 3e kwartaal,102.1,103.6,4.5,2.9,94.3,96,0.7,0.3
Traditionele Horeca,2014 4e kwartaal,95.4,96.8,5.6,3.6,95.9,97.2,1.7,1.2
Traditionele Horeca,2015 1e kwartaal,82.5,84.1,3.6,2.3,97.1,98,1.2,0.9
Traditionele Horeca,2015 2e kwartaal,106.8,106.5,6.3,4.5,99.6,100.1,2.5,2.1
